STATE,NAME,YEAR,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,AVG,OBP,SLG,GIDP,SAC,SF,BB,IBB,HBP,CS,GO,AO,G/F,SB%,TA,SSA
°h§Ð,ªü¬¥º¿,1998,28,97,86,7,11,19,15,3,0,1,25,11,1,0.221,0.292,0.291,3,1,1,8,0,1,3,30,27,1.111,0.25,0.479,300.93
°h§Ð,¦h¤O¤h,1998,27,69,62,7,3,17,14,3,0,0,20,20,0,0.274,0.328,0.323,0,2,0,5,0,0,1,17,8,2.125,0,0.543,329.19
°h§Ð,³¯¨¦·½,1998,25,27,24,0,3,4,3,0,1,0,6,9,0,0.167,0.259,0.25,0,0,0,2,0,1,1,4,7,0.571,0,0.429,172.67
°h§Ð,¬ù·æ,1998,24,108,95,10,14,29,22,5,2,0,38,10,3,0.305,0.358,0.4,3,1,2,8,1,1,2,33,25,1.32,0.6,0.718,393.26
°h§Ð,»¨«Â,1998,24,80,72,5,11,19,13,6,0,0,25,12,7,0.264,0.284,0.347,0,6,0,2,0,0,0,21,20,1.05,1,0.642,313.89
°h§Ð,§d¬f¾±,1998,23,67,60,2,5,10,9,0,1,0,12,11,0,0.167,0.219,0.2,3,3,0,2,0,2,1,33,6,5.5,0,0.296,188.67
°h§Ð,§dÁnªZ,1998,23,49,46,2,2,10,8,1,0,1,14,11,1,0.217,0.25,0.304,1,1,0,0,0,2,0,19,6,3.167,1,0.459,261.39
°h§Ð,»¨§§,1998,22,68,59,9,7,18,12,3,0,3,30,9,0,0.305,0.388,0.508,3,1,0,8,0,0,0,21,11,1.909,0,0.864,440.08
°h§Ð,Å]¤O¼Ú,1998,21,64,54,9,5,13,9,2,0,2,21,15,0,0.241,0.349,0.389,1,0,0,9,1,0,3,12,14,0.857,0,0.689,346.74
°h§Ð,±iÞ³,1998,21,46,42,0,2,8,7,1,0,0,9,13,0,0.19,0.261,0.214,1,0,0,4,0,0,1,11,10,1.1,0,0.361,199.48
°h§Ð,³ì§¢¨º,1998,21,65,56,6,7,16,9,5,0,2,27,18,0,0.286,0.385,0.482,2,0,0,7,0,2,0,10,12,0.833,0,0.857,382.71
°h§Ð,¥d¨È¤O,1998,17,36,36,8,6,11,7,1,0,3,21,11,2,0.306,0.306,0.583,1,0,0,0,0,0,0,9,5,1.8,1,0.885,426.56
°h§Ð,ªô¥ø±l,1998,17,22,20,4,4,5,4,1,0,0,6,8,0,0.25,0.25,0.3,1,2,0,0,0,0,0,5,2,2.5,0,0.375,276
°h§Ð,¹p¼Ú´µ,1998,17,33,30,2,4,8,6,1,1,0,11,6,0,0.267,0.303,0.367,1,0,1,2,0,0,1,9,8,1.125,0,0.542,287.67
°h§Ð,§õ©ú¾±,1998,17,14,12,1,5,1,1,0,0,0,1,3,1,0.083,0.214,0.083,0,0,0,2,0,0,0,6,2,3,1,0.364,89.33
°h§Ð,¤R³sµn,1998,16,43,37,3,5,12,9,2,0,1,17,10,0,0.324,0.419,0.459,1,0,0,6,0,0,3,8,7,1.143,0,0.793,376.32
°h§Ð,¤O§J±j,1998,15,43,36,2,5,10,10,0,0,0,10,3,1,0.278,0.395,0.278,1,0,0,7,0,0,0,19,4,4.75,1,0.667,297.78
°h§Ð,§d¬L½÷,1998,15,20,20,2,0,3,2,1,0,0,4,9,0,0.15,0.15,0.2,0,0,0,0,0,0,1,5,3,1.667,0,0.222,164
°h§Ð,§J©Ô§J,1998,15,42,36,1,3,11,7,4,0,0,15,5,0,0.306,0.39,0.417,2,0,0,4,1,1,0,13,7,1.857,0,0.778,325.56
°h§Ð,¼Ú®m¨k,1998,14,14,12,1,1,0,0,0,0,0,0,1,0,0,0.071,0,0,0,1,1,0,0,0,6,6,1,0,0.083,5
°h§Ð,¯«¯u¤ô,1998,14,16,16,1,3,8,6,2,0,0,10,1,1,0.5,0.5,0.625,0,0,0,0,0,0,0,1,6,0.167,1,1.375,515
°h§Ð,¹p»X¤O,1998,13,27,26,1,2,6,4,2,0,0,8,12,0,0.231,0.259,0.308,0,0,0,1,0,0,0,4,4,1,0,0.45,243.77
°h§Ð,³¢«Û¬f,1998,13,10,7,2,0,3,3,0,0,0,3,3,0,0.429,0.6,0.429,0,0,0,3,0,0,0,1,0,0,0,1.5,441.57
°h§Ð,¶¾¤åÀs,1998,12,12,12,0,0,2,2,0,0,0,2,6,0,0.167,0.167,0.167,0,0,0,0,0,0,0,3,1,3,0,0.2,168.67
°h§Ð,³¯¬L»Ê,1998,12,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
°h§Ð,¤ý«O¤å,1998,10,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
°h§Ð,¤ý¸t¹ý,1998,9,7,7,0,1,1,1,0,0,0,1,2,0,0.143,0.143,0.143,0,0,0,0,0,0,0,10,3,3.333,0,0.167,143.86
°h§Ð,ªL¦Ê¦ë,1998,8,9,8,3,0,2,2,0,0,0,2,1,0,0.25,0.25,0.25,1,1,0,0,0,0,0,3,2,1.5,0,0.286,267
°h§Ð,­Jªø»¨,1998,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,47,42,1.119,0.5,1,0
°h§Ð,°qµR¤O,1998,7,18,18,1,1,2,2,0,0,0,2,6,1,0.111,0.111,0.111,0,0,0,0,0,0,0,4,6,0.667,1,0.188,118.11
°h§Ð,°¶¨Ó,1998,7,28,27,3,3,6,4,2,0,0,8,3,0,0.222,0.25,0.296,0,0,0,1,0,0,0,8,10,0.8,0,0.429,245.22
°h§Ð,¦¿©É¼w,1998,7,11,11,2,1,3,3,0,0,0,3,3,1,0.273,0.273,0.273,0,0,0,0,0,0,0,4,1,4,1,0.5,285.73
°h§Ð,¼w¥î,1999,94,407,329,68,51,106,67,18,2,19,185,78,12,0.322,0.428,0.562,16,0,3,57,12,6,2,81,67,1.209,0.857,1.129,1227.19
°h§Ð,³¯Ãh¤s,1999,94,409,364,27,55,95,76,14,5,0,119,57,12,0.261,0.326,0.327,6,7,2,35,0,1,3,145,69,2.101,0.8,0.601,514.99
°h§Ð,³¯¬F½å,1999,92,339,298,54,31,88,66,18,0,4,118,52,7,0.295,0.354,0.396,6,3,7,29,0,2,4,62,103,0.602,0.636,0.709,763.3
°h§Ð,½²©ø²»,1999,92,400,352,29,53,77,60,15,0,2,98,61,12,0.219,0.296,0.278,8,2,5,30,0,11,5,124,94,1.319,0.706,0.524,501.75
°h§Ð,¥d¤º°ò,1999,91,375,349,35,41,106,80,22,2,2,138,60,3,0.304,0.343,0.395,5,1,0,18,4,3,6,114,69,1.652,0.333,0.654,656.72
°h§Ð,¸­§g¼ý,1999,91,324,287,29,34,74,64,8,2,0,86,53,8,0.258,0.31,0.3,10,10,3,13,1,10,2,110,53,2.075,0.8,0.524,488.84
°h§Ð,¦Ê¼Ö,1999,90,400,367,41,60,111,81,12,7,11,170,71,34,0.302,0.349,0.463,5,1,1,25,4,2,12,107,79,1.354,0.739,0.861,897.45
°h§Ð,³¯µaÂ×,1999,90,306,270,22,33,65,55,8,2,0,77,33,10,0.241,0.296,0.285,6,12,2,21,0,1,4,116,58,2,0.714,0.507,427.74
°h§Ð,¶À©¾¸q,1999,90,378,329,39,45,93,61,25,4,3,135,35,20,0.283,0.357,0.41,6,3,2,32,5,7,2,113,90,1.256,0.909,0.816,672.67
°h§Ð,¤ý¥ú½÷,1999,89,363,325,41,33,70,52,10,0,8,104,38,4,0.215,0.28,0.32,15,0,5,27,2,4,1,114,108,1.056,0.8,0.52,684.38
°h§Ð,­Jªø»¨,1999,88,387,362,7,39,88,76,11,1,0,101,48,28,0.243,0.278,0.279,1,6,1,15,0,3,7,130,97,1.34,0.8,0.521,379.09
°h§Ð,Âö¾ð¤ì,1999,88,309,276,29,35,67,53,11,1,2,86,53,11,0.243,0.287,0.312,9,13,2,18,0,0,2,86,72,1.194,0.846,0.523,513.75
°h§Ð,³¯³s§»,1999,87,362,299,50,57,99,66,21,7,5,149,70,13,0.331,0.435,0.498,8,1,3,54,2,3,6,73,60,1.217,0.684,1.033,830.1
°h§Ð,Âö§§Âí,1999,87,364,329,24,44,80,63,11,4,2,105,37,51,0.243,0.274,0.319,0,19,0,7,0,7,12,142,70,2.029,0.81,0.651,508.16
°h§Ð,ªL©¨«G,1999,87,356,314,19,28,74,62,10,2,0,88,41,6,0.236,0.284,0.28,3,21,0,21,0,0,5,121,78,1.551,0.545,0.464,418.67
°h§Ð,±i®õ¤s,1999,87,366,327,70,60,105,73,12,3,17,174,45,18,0.321,0.376,0.532,7,0,2,23,7,7,8,117,62,1.887,0.692,0.966,1185.1
°h§Ð,³¯¸Óµo,1999,86,357,310,35,51,98,69,13,7,9,152,59,8,0.316,0.401,0.49,1,2,0,43,1,1,4,78,75,1.04,0.667,0.945,823.13
°h§Ð,Ã¹±Ó­ë,1999,86,304,259,39,29,67,45,15,0,7,103,52,3,0.259,0.336,0.398,7,1,6,29,5,4,1,68,78,0.872,0.75,0.72,696.69
°h§Ð,±i¨ó¶i,1999,86,340,322,22,29,78,62,15,1,0,95,48,3,0.242,0.264,0.295,4,7,1,5,0,5,6,108,89,1.213,0.333,0.425,447.24
°h§Ð,¤ý¶Ç®a,1999,86,300,257,28,37,61,45,9,2,5,89,50,6,0.237,0.33,0.346,1,5,1,33,1,3,4,80,67,1.194,0.6,0.657,566.35
°h§Ð,¶À¥ÌÀM,1999,85,329,290,30,50,93,74,12,4,3,122,28,54,0.321,0.379,0.421,8,6,3,22,1,7,12,101,71,1.423,0.818,0.949,652.69
°h§Ð,³¯¤å»«,1999,85,324,287,38,38,77,53,11,2,11,125,69,11,0.268,0.336,0.436,2,1,3,29,2,2,6,85,59,1.441,0.647,0.775,803.29
°h§Ð,¤ý®f¯E,1999,82,329,290,43,54,90,66,15,5,4,127,43,2,0.31,0.375,0.438,4,2,2,24,3,7,2,104,55,1.891,0.5,0.791,732.34
°h§Ð,ªL©É§»,1999,82,284,253,29,29,64,50,11,0,3,84,55,7,0.253,0.32,0.332,2,3,2,26,0,0,6,92,44,2.091,0.538,0.594,541.96
°h§Ð,¬x¼wªÚ,1999,82,277,241,22,23,49,40,5,1,3,65,78,5,0.203,0.265,0.27,5,9,5,15,0,7,2,64,55,1.164,0.714,0.462,438.32
°h§Ð,ªB¹£,1999,81,366,331,30,41,92,77,12,1,2,112,51,13,0.278,0.328,0.338,6,8,1,19,1,6,5,118,71,1.662,0.722,0.604,579.95
°h§Ð,³\¸tªN,1999,81,334,287,44,44,80,56,15,2,7,120,53,18,0.279,0.357,0.418,4,5,4,35,1,2,2,90,67,1.343,0.9,0.826,758.75
°h§Ð,±i«Ø¾±,1999,81,259,238,11,20,57,51,5,1,0,64,18,16,0.239,0.287,0.269,5,5,0,15,0,1,7,90,73,1.233,0.696,0.497,358.5
°h§Ð,¨È¤O¤h,1999,80,335,302,64,63,98,57,23,0,18,175,58,6,0.325,0.382,0.579,9,0,3,27,0,3,2,86,63,1.365,0.75,0.981,1179.5
°h§Ð,Ã¹°ê¼ý,1999,79,267,237,19,13,53,44,9,0,0,62,28,3,0.224,0.27,0.262,7,11,3,14,0,2,4,101,58,1.741,0.429,0.415,380.63
°h§Ð,³¯·ç©÷,1999,78,303,275,37,21,71,50,12,4,5,106,55,2,0.258,0.327,0.385,8,0,0,14,0,14,4,76,73,1.041,0.333,0.63,649.18
°h§Ð,¼B©¾©¨,1999,77,219,200,21,12,50,44,6,0,0,56,24,3,0.25,0.29,0.28,7,5,2,10,0,2,4,85,43,1.977,0.429,0.441,411
°h§Ð,¤ý±RÄ£,1999,77,258,237,18,14,39,35,4,0,0,43,38,6,0.165,0.189,0.181,1,14,0,6,0,1,2,97,64,1.516,0.75,0.279,297.56
°h§Ð,ªL¥ò¬î,1999,76,294,258,41,26,70,47,15,0,8,109,39,3,0.271,0.338,0.422,7,0,4,28,4,0,4,77,76,1.013,0.429,0.724,745.32
°h§Ð,³¯¤j¶¶,1999,76,238,219,31,17,54,42,9,0,3,72,39,0,0.247,0.301,0.329,7,1,0,17,1,0,2,83,43,1.93,0,0.517,533.58
°h§Ð,¬x¥¿´Ü,1999,75,274,242,24,24,67,53,11,1,2,86,49,3,0.277,0.338,0.355,13,5,3,23,0,1,4,85,44,1.932,0.429,0.589,522.86
°h§Ð,¦ó?¤Z,1999,74,164,145,16,14,38,33,5,0,0,43,20,3,0.262,0.321,0.297,4,5,1,10,0,3,2,59,29,2.034,0.6,0.522,385.07
°h§Ð,¬x±Ò®p,1999,74,289,252,46,53,84,50,19,2,13,146,38,24,0.333,0.402,0.579,8,0,3,27,3,4,6,69,64,1.078,0.8,1.121,969.33
°h§Ð,¥ô§Ó°¶,1999,74,248,213,28,24,57,40,15,0,2,78,52,2,0.268,0.362,0.366,7,0,1,29,2,3,0,71,34,2.088,1,0.699,525.61
°h§Ð,ªL¥¿°¶,1999,73,276,258,22,27,67,57,8,2,0,79,40,14,0.26,0.293,0.306,2,3,2,11,0,2,4,94,59,1.593,0.778,0.538,448.69
°h§Ð,¼ï§Ó±j,1999,72,166,149,20,9,23,16,4,2,1,34,46,5,0.154,0.227,0.228,4,3,0,9,0,5,9,52,28,1.857,0.357,0.381,308.36
°h§Ð,§õ©[­õ,1999,72,152,134,20,13,41,32,8,1,0,51,19,4,0.306,0.388,0.381,5,0,0,18,0,0,2,46,28,1.643,0.667,0.73,456.97
°h§Ð,¶ÀÞ£¶©,1999,72,259,222,23,35,67,52,14,0,1,84,22,8,0.302,0.378,0.378,9,8,1,24,0,4,8,77,57,1.351,0.5,0.698,520.8
°h§Ð,½²Â×¦w,1999,71,208,191,18,12,43,35,6,0,2,55,47,2,0.225,0.279,0.288,1,0,2,8,0,7,2,50,53,0.943,0.5,0.477,410.13
°h§Ð,§d¬L½÷,1999,71,219,188,32,16,46,36,7,0,3,62,37,4,0.245,0.3,0.33,1,11,3,15,1,1,3,59,49,1.204,0.571,0.568,526.68
°h§Ð,ªL©ú¾Ë,1999,69,255,216,18,37,61,46,11,1,3,83,31,19,0.282,0.36,0.384,1,7,3,26,1,2,2,71,56,1.268,0.905,0.829,515.41
°h§Ð,³¯·ç®¶,1999,69,292,260,17,39,74,63,5,6,0,91,47,19,0.285,0.344,0.35,2,4,3,23,0,2,1,90,52,1.731,0.95,0.714,460.62
°h§Ð,Ã¹­Û,1999,68,226,191,31,35,53,30,11,1,11,99,45,14,0.277,0.362,0.518,3,2,3,22,3,5,6,55,41,1.341,0.7,0.973,751.49
°h§Ð,ªô¥ø±l,1999,65,148,140,15,10,33,24,8,1,0,43,30,2,0.236,0.267,0.307,1,2,0,2,0,4,2,43,34,1.265,0.5,0.464,353.71
°h§Ð,¶À¶v·ì,1999,65,130,116,9,10,23,18,4,0,1,30,16,1,0.198,0.279,0.259,3,1,0,7,0,6,0,45,32,1.406,1,0.458,293.28
°h§Ð,ªZ«Ø¦{,1999,65,177,153,17,25,32,24,4,3,1,45,43,7,0.209,0.305,0.294,0,3,0,18,0,3,4,42,36,1.167,0.636,0.584,359.15
°h§Ð,¼ï·ç¶¯,1999,63,142,127,6,11,22,21,1,0,0,23,34,2,0.173,0.216,0.181,1,8,0,6,0,1,3,50,21,2.381,0.4,0.294,226.23
°h§Ð,¶À¦Û±j,1999,62,157,136,8,18,23,17,5,1,0,30,22,7,0.169,0.257,0.221,3,5,0,12,0,4,5,55,36,1.528,0.583,0.438,239.12
°h§Ð,§d«ä½å,1999,62,232,216,24,20,50,39,6,4,1,67,30,1,0.231,0.263,0.31,6,3,2,10,1,0,1,88,50,1.76,0.5,0.457,438.48
°h§Ð,®}¾ã·í,1999,61,182,154,11,13,37,32,4,1,0,43,12,2,0.24,0.285,0.279,4,17,1,6,0,4,1,66,40,1.65,0.667,0.451,338.26
°h§Ð,ªôÄQ¼ý,1999,60,188,173,22,9,41,30,11,0,0,52,53,2,0.237,0.293,0.301,8,0,1,13,0,1,0,61,19,3.211,1,0.486,398.99
°h§Ð,³¯ª÷­Z,1999,59,214,194,20,18,40,28,11,0,1,54,28,0,0.206,0.264,0.278,5,2,2,16,0,0,4,59,69,0.855,0,0.429,380.19
°h§Ð,³¯©v¨k,1999,59,167,144,8,13,24,23,1,0,0,25,26,2,0.167,0.234,0.174,1,9,1,11,0,2,1,60,35,1.714,0.667,0.328,231.67
°h§Ð,­ð¥§,1999,58,221,200,14,33,61,51,5,4,1,77,25,13,0.305,0.355,0.385,0,4,1,13,0,3,6,69,46,1.5,0.684,0.731,472
°h§Ð,Ã¹ªQ¥Ã,1999,57,205,192,13,6,35,26,8,1,0,45,56,1,0.182,0.222,0.234,3,2,1,9,0,1,1,64,38,1.684,0.5,0.348,292.29
°h§Ð,³¯©v¨j,1999,55,203,192,7,10,41,36,4,1,0,47,17,3,0.214,0.249,0.245,2,2,0,9,0,0,1,88,46,1.913,0.75,0.383,295.54
°h§Ð,§f¹Å©ú,1999,53,160,147,14,17,34,28,2,2,2,46,22,8,0.231,0.278,0.313,5,2,1,8,0,2,2,56,36,1.556,0.8,0.533,387.29
°h§Ð,¿à±R¥ú,1999,53,138,118,13,8,33,29,4,0,0,37,20,1,0.28,0.323,0.314,2,8,3,9,0,0,2,37,31,1.194,0.333,0.528,381.66
°h§Ð,¾G¤å½å,1999,52,153,140,14,16,30,24,1,4,1,42,43,4,0.214,0.272,0.3,2,2,0,9,0,2,2,49,18,2.722,0.667,0.5,346.29
°h§Ð,¯Õ°·½÷,1999,51,17,16,2,11,6,6,0,0,0,6,4,12,0.375,0.375,0.375,0,1,0,0,0,0,7,3,3,1,0.632,1.059,391
°h§Ð,·¨±ÒøÊ,1999,50,33,29,2,13,4,4,0,0,0,4,8,13,0.138,0.219,0.138,0,1,0,3,0,0,2,12,5,2.4,0.867,0.741,151.93
°h§Ð,°ª¥¿°¶,1999,50,99,89,5,13,20,15,3,2,0,27,29,6,0.225,0.274,0.303,3,4,0,6,0,0,2,29,11,2.636,0.75,0.527,276.72
°h§Ð,¹ù­z¤¯,1999,50,63,53,9,8,10,9,0,0,1,13,14,3,0.189,0.283,0.245,0,3,0,4,0,3,1,21,8,2.625,0.75,0.523,266.68
°h§Ð,°¨¤B¥§,1999,49,197,177,16,20,56,45,8,0,3,73,26,25,0.316,0.361,0.412,0,3,3,8,0,6,8,53,45,1.178,0.758,0.868,529.38
°h§Ð,³\»x¬°,1999,48,144,135,8,16,35,29,5,1,0,42,8,3,0.259,0.286,0.311,2,4,0,3,0,2,3,61,31,1.968,0.5,0.476,341.26
°h§Ð,³¯¬±¨k,1999,48,63,58,2,17,19,14,5,0,0,24,12,7,0.328,0.371,0.414,0,1,0,2,0,2,0,12,15,0.8,1,0.897,361.59
°h§Ð,§d¨Îºa,1999,47,96,88,7,12,23,19,3,1,0,28,21,4,0.261,0.309,0.318,1,2,0,6,0,0,4,26,18,1.444,0.5,0.543,324.36
°h§Ð,¦w¦¬¦h,1999,47,196,163,31,22,43,28,9,0,6,70,33,1,0.264,0.372,0.429,5,0,3,23,0,7,1,47,43,1.093,0.5,0.802,608.8
°h§Ð,©P´Ë¼Ý,1999,46,89,72,10,10,14,10,4,0,0,18,11,2,0.194,0.322,0.25,2,2,1,14,0,0,1,25,23,1.087,0.667,0.557,262.44
°h§Ð,Ã¹¥§,1999,43,180,167,25,29,48,34,6,0,8,78,27,5,0.287,0.326,0.467,6,0,1,10,2,0,3,45,48,0.938,0.625,0.742,650.43
°h§Ð,©Ç¤O¨k,1999,42,174,145,14,16,34,26,5,0,3,48,43,0,0.234,0.355,0.331,2,0,0,26,2,1,0,38,30,1.267,0,0.681,412.48
°h§Ð,ÂÅ­},1999,38,142,122,20,24,38,24,7,1,6,65,32,7,0.311,0.39,0.533,4,0,2,17,1,0,1,34,20,1.7,0.875,1.011,596.48
°h§Ð,·¨ªQ©¶,1999,37,89,79,9,6,18,16,0,2,0,22,12,2,0.228,0.284,0.278,1,1,2,6,0,1,2,28,23,1.217,0.5,0.484,294.85
°h§Ð,¦Ê¦N,1999,36,135,124,12,14,35,25,8,1,1,48,26,6,0.282,0.333,0.387,5,0,1,8,0,2,1,40,24,1.667,0.857,0.674,410.26
°h§Ð,·¨·Ô°ó,1999,34,88,82,11,7,15,10,2,1,2,25,34,2,0.183,0.227,0.305,1,0,1,4,0,1,0,26,8,3.25,1,0.471,302.93
°h§Ð,§d­õ©v,1999,34,85,78,7,3,13,8,4,0,1,20,19,0,0.167,0.214,0.256,2,1,1,5,0,0,0,32,15,2.133,0,0.373,241.67
°h§Ð,½²«C®p,1999,33,61,58,8,5,14,12,1,0,1,18,21,1,0.241,0.267,0.31,2,1,0,2,0,0,2,16,7,2.286,0.333,0.438,319.38
°h§Ð,¤s©i,1999,32,132,111,23,30,37,23,7,1,6,64,25,12,0.333,0.439,0.577,0,0,0,18,0,3,2,28,21,1.333,0.857,1.276,632.33
°h§Ð,¬_«Ø¾W,1999,30,24,20,2,5,3,2,1,0,0,4,7,6,0.15,0.261,0.2,0,1,0,3,0,0,1,4,6,0.667,0.857,0.722,164
°h§Ð,ªLÂE»·,1999,29,49,45,2,2,6,4,2,0,0,8,9,0,0.133,0.204,0.178,2,0,0,2,0,2,1,15,15,1,0,0.286,151.33
°h§Ð,³Á®ü©_,1999,28,107,92,13,8,28,19,4,1,4,46,19,1,0.304,0.371,0.5,2,2,2,9,0,2,1,20,27,0.741,0.5,0.866,495.35
°h§Ð,©P¼w½å,1999,26,68,65,3,6,14,14,0,0,0,14,11,0,0.215,0.25,0.215,1,0,0,3,0,0,1,27,13,2.077,0,0.321,244.38
°h§Ð,³ù¦N,1999,25,79,66,8,6,19,13,5,0,1,27,14,0,0.288,0.392,0.409,3,0,1,9,0,3,1,19,15,1.267,0,0.765,374.88
°h§Ð,¸­°ª¥ß,1999,25,45,44,2,6,5,3,2,0,0,7,18,0,0.114,0.133,0.159,1,0,0,1,0,0,0,11,10,1.1,0,0.2,130.64
°h§Ð,ªL©ö¼W,1999,23,43,36,2,6,3,3,0,0,0,3,6,5,0.083,0.233,0.083,1,0,0,7,0,0,2,17,10,1.7,0.714,0.417,96.33
°h§Ð,§d¬f¾±,1999,22,57,48,4,2,3,3,0,0,0,3,10,0,0.062,0.096,0.063,1,5,2,2,0,0,0,23,14,1.643,0,0.109,85.5
°h§Ð,³¯«Ø§ø,1999,22,31,27,2,8,5,5,0,0,0,5,14,4,0.185,0.267,0.185,1,1,0,3,0,0,0,5,3,1.667,1,0.522,200.19
°h§Ð,¤Ú«Â¯S,1999,22,90,78,14,12,23,16,4,1,2,35,9,1,0.295,0.389,0.449,4,0,0,11,0,1,1,31,15,2.067,0.5,0.8,439.87
°h§Ð,¤j«Ò¤h,1999,22,96,86,5,17,19,16,1,0,2,26,14,7,0.221,0.302,0.302,0,0,0,10,0,0,2,28,25,1.12,0.778,0.623,311.93
°h§Ð,¿½¶³ªF,1999,21,22,20,0,4,0,0,0,0,0,0,9,0,0,0.091,0,0,0,0,0,0,2,0,8,3,2.667,0,0.1,0
°h§Ð,³¢¤@®p,1999,20,26,23,1,2,3,3,0,0,0,3,10,0,0.13,0.231,0.13,0,0,0,3,0,0,0,6,4,1.5,0,0.3,138.43
°h§Ð,ªL¥ú¤¤,1999,19,28,24,0,0,3,3,0,0,0,3,12,1,0.125,0.222,0.125,0,1,0,1,0,2,0,4,5,0.8,1,0.333,128
°h§Ð,Ã¹§J,1999,18,67,62,9,10,20,11,8,1,0,30,4,1,0.323,0.358,0.484,3,0,1,4,0,0,2,22,17,1.294,0.333,0.745,397.58
°h§Ð,¥¬¾|¿Õ,1999,18,77,67,7,4,21,19,2,0,0,23,12,3,0.313,0.395,0.343,5,1,0,7,0,2,5,24,10,2.4,0.375,0.625,371.43
°h§Ð,Ä¬Þm´¼,1999,17,16,14,0,1,1,1,0,0,0,1,2,0,0.071,0.133,0.071,1,1,0,0,0,1,0,9,2,4.5,0,0.143,72.43
°h§Ð,³¯«Â§Ó,1999,15,19,18,2,4,3,2,1,0,0,4,3,0,0.167,0.211,0.222,0,0,0,0,0,1,0,11,1,11,0,0.333,180.67
°h§Ð,³¯¬L»Ê,1999,15,15,14,0,3,1,1,0,0,0,1,3,0,0.071,0.133,0.071,0,0,0,1,0,0,0,7,3,2.333,0,0.154,72.43
°h§Ð,¤ý§Ó°¶,1999,14,28,23,1,2,3,3,0,0,0,3,6,1,0.13,0.231,0.13,0,2,0,2,0,1,0,10,4,2.5,1,0.35,138.43
°h§Ð,©£ÂÄ¤O¤h,1999,13,35,26,3,3,6,4,1,0,1,10,4,0,0.231,0.429,0.385,2,0,0,8,0,1,0,9,7,1.286,0,0.864,275.77
°h§Ð,¯B¤h¼w,1999,13,35,35,0,2,5,5,0,0,0,5,6,0,0.143,0.143,0.143,0,0,0,0,0,0,1,12,12,1,0,0.161,147.86
°h§Ð,°¨¤B,1999,13,54,50,3,6,18,15,3,0,0,21,9,1,0.36,0.385,0.42,0,2,0,1,0,1,1,10,13,0.769,0.5,0.727,396
°h§Ð,¼ï©¾¾±,1999,12,24,21,2,1,6,3,3,0,0,9,4,1,0.286,0.348,0.429,1,1,0,2,0,0,0,7,4,1.75,1,0.75,304.71
°h§Ð,¶¾³Ó½å,1999,12,47,45,1,3,15,14,1,0,0,16,4,5,0.333,0.348,0.356,2,1,0,1,0,0,1,19,7,2.714,0.833,0.667,354.33
°h§Ð,§dÁnªZ,1999,12,24,22,2,1,6,5,1,0,0,7,6,0,0.273,0.333,0.318,0,0,0,2,0,0,0,6,4,1.5,0,0.563,289.73
°h§Ð,³¯«T¸q,1999,10,23,21,2,2,2,1,1,0,0,3,5,0,0.095,0.13,0.143,0,0,1,1,0,0,0,7,8,0.875,0,0.211,108.24
°h§Ð,³¢«Û¬f,1999,9,12,9,0,3,3,3,0,0,0,3,2,0,0.333,0.5,0.333,1,0,0,1,0,2,0,4,0,0,0,0.857,336.33
°h§Ð,¶À¶Q¸Î,1999,8,16,16,2,1,4,4,0,0,0,4,5,0,0.25,0.25,0.25,0,0,0,0,0,0,0,3,4,0.75,0,0.333,264
°h§Ð,¨f¨È¤h,1999,8,23,21,3,2,5,5,0,0,0,5,2,4,0.238,0.304,0.238,0,0,0,2,0,0,1,9,5,1.8,0.8,0.647,258.1
°h§Ð,¤é¦Õ°Ò,1999,7,26,22,0,3,5,5,0,0,0,5,1,0,0.227,0.32,0.227,0,1,0,3,0,0,0,8,8,1,0,0.471,232.27
°h§Ð,Ã¹°ö¯÷,1999,7,16,16,1,1,2,2,0,0,0,2,5,0,0.125,0.125,0.125,0,0,0,0,0,0,0,5,4,1.25,0,0.143,132
°h§Ð,¸­ªaÅï,1999,7,19,17,3,0,4,2,2,0,0,6,5,0,0.235,0.278,0.353,0,1,0,1,0,0,1,7,1,7,0,0.5,256.29
°h§Ð,»Z¼y­õ,1999,6,9,9,0,0,3,3,0,0,0,3,1,0,0.333,0.333,0.333,0,0,0,0,0,0,1,3,2,1.5,0,0.429,336.33
°h§Ð,¿c¸Ö²M,1999,6,13,12,4,1,5,4,1,0,0,6,2,0,0.417,0.462,0.5,1,0,0,1,0,0,1,3,2,1.5,0,0.778,442.67
°h§Ð,ª÷¦Ê¤O,1999,5,13,13,2,2,4,3,1,0,0,5,4,0,0.308,0.308,0.385,0,0,0,0,0,0,0,2,3,0.667,0,0.556,322.69
°h§Ð,©Ô­¸¤O,1999,5,16,12,3,6,4,3,1,0,0,5,1,2,0.333,0.467,0.417,1,1,0,2,0,1,0,5,2,2.5,1,1.111,353.33
°h§Ð,¶¾³Ó½å,2000,90,389,337,34,42,98,79,11,3,5,130,35,15,0.291,0.348,0.386,6,17,3,28,1,3,5,127,80,1.587,0.75,0.708,690.8
